artist,credit_line,display_dimensions,geometry,medium,title,location
"Beauchemin, Micheline",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"240"" H X 180"" W","-122.389979,37.615223",Hooked wool tapestry,                                                      ,
"Bechtle, Robert",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"46"" H X 69"" W Framed","-122.389979,37.615223",Oil on canvas,San Francisco Nova,
"Beery, Jonathan",Gift to the city from the Friends of Moscone Park and Recreation Center,,"-122.433025,37.80136",Bronze,Leatherback Sea Turtle,
"Beery, Jonathan",Gift to the City from the Friends of Moscone Park and Recreation Center,,"-122.433025,37.80136",bronze,The Pink Short-spined Starfish,
"Beldner, Ray",Commissioned by the San Francisco Art Commission for San Francisco Municipal Railway. Collection of the City and County of San Francisco,"16 'H (max.) X 8 ' W (max.) X 4 1/2 "" D","-122.510037,37.7732589",Stainless steel mesh over steel armature with photo-etched plaques.,Playland Revisited,"La Playa St
"
"Berlandina, Jane",Commissioned for Coit Tower,9' X 34',"-122.4058194,37.8023686",Egg tempura,Home Life,
"Berlant, Tony",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"168"" H X 506"" W","-122.389979,37.615223",Found metal collage on wood with steel brads,Dancing on the Brink of the World,
"Bertrand, Raymond",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Meat Industry,
"Biaggi, Suzanne",,,"-122.4556651,37.7478586","Basalt, water and black pebbles",Patterns of Time and Place [stone sculpture],
"Blackstone, Amy",,,"-122.420433,37.763376",,Untitled,
"Blackstone, Amy",,,"-122.4194155,37.7749295",,"Earth, Fire, and Water",
"Blake, Nayland W.",Commissioned by the San Francisco Art Commission for the Public Library.,,"-122.415783,37.778864","painted steel, mirrors and fiberoptic lighting",Constellation,
"Bongers, Jaap (Jacob)",Commissioned by the San Francisco Art Commission for the Richmond Police Station.,48 in. x 48 in.,"-122.464215,37.7798186",Sandblasted Granite,Untitled #2,
"Bongers, Jaap (Jacob)",Commissioned by the San Francisco Art Commission for the Richmond Police Station.,72 in. x 72 in.,"-122.464215,37.7798186","Marble, granite and bronze",Untitled #1,
"Bongers, Jaap (Jacob)",Art enrichment for Fire Station #24,,"-122.4410438,37.7531196",Bronze,Fire,
"Bonner, Jonathan",,,"-122.4556651,37.7478586",Lathe turned granite,Bloom,
"Bowler, Patti",Purchased by the San Francisco Art Commission for Health Center #4,114 in. x 672 in. x 30 in.,"-122.4154927,37.7967083",Sheet bronze and sheet brass,Dragon Relief,
"Boyce, Roger",Purchased by the San Francisco Art Commission for the Mission Recreation Center,"96"" H X 48"" W","-122.412999,37.75820100000001",Oil enamels,Untitled,"2450 Harrison St
"
"Boynton, Raymond",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Animal Force and Machine Force,
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Water: The Net,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Fire: Industrial Fire,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Fire: Primitive Fire,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Air: The Windmill,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Earth: The Fruit Pickers,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,,"-122.420552,37.779649",Oil,Earth: Dancing the Grapes,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil,Water: The Fountain,"401 Van Ness Ave
"
"Brangwyn, Frank",Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649",Oil ,Air: The Hunters,"401 Van Ness Ave
"
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
"Brothers, Beliz",,,"-122.4556651,37.7478586","glass, stainless steel and light",Untitled [light boxes and glass panels],
