artist,credit_line,display_dimensions,geometry,medium,title,location
"Di Suvero, Mark",Purchased by the San Francisco Art Commission for the Waterfront Transportation Project,60' H X 30' W X 30' D,"-122.417975,37.776651",Metal and paint,Sea Change,
"Diebenkorn, Richard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223",Drypoint and etching,Untitled,
"Diebenkorn, Richard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223",Drypoint and etching,Untitled,
"Diebenkorn, Richard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223",Drypoint and etching,Untitled,
"Diebenkorn, Richard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"30"" H X 22"" W","-122.389979,37.615223",Drypoint and etching,Untitled,
"Dill, Laddie John",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,60 in. x 84 in.,"-122.389979,37.615223","Cement, polymer and glass",Untitled,
"Dine, Jim","Gift on Convention Plaza, Inc.",,"-122.4194155,37.7749295",Bronze,Venus with Rope,
"Dixon, Maynard",Commissioned by the Spring Valley Water Co.,,"-122.4194155,37.7749295",oil,Landscape,
"Dixon, Willard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56""H X 96"" W","-122.389979,37.615223",Oil on canvas,Above Bolinas,
"Dixon, Willard",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"56"" H X 96"" W","-122.389979,37.615223",Oil on canvas,Death Valley II,
"Donahue, Marcia",Purchased by the Public Art Program for Chinatown Park,"varies from 30"" L X 30"" W to 52"" L X 42"" W","-122.4194155,37.7749295",Granite,Five Carved Stones,
"Donahue, Scott",Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"-122.4194155,37.7749295",Fiberglass,"Kate, Allan, Javier, Ting, Sloanie",
"Donahue, Scott",,,"-122.467743,37.78187",,Untitled [Richmond Library],"351 9th Ave
"
"Donahue, Scott",,,"-122.451011,37.7701867",Bronze and porcelain enamel,To This Place,
"Dore, Paul Gustave",Gift of M.H. de Young,"11' H X 6' 8"" W X 6' 8"" D","-122.4666711,37.7703537",Bronze,La poeme de la vigne,
"Downie, Romana Anzi",Gift of Brooks Camera,,"-122.415783,37.778864",Cast bronze,Bust of George Moscone,
"Dvortcsak, Michael",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"87"" H X 72"" W","-122.389979,37.615223",Oil and wax on canvas,Sublimens,
"Dwyer, Gary",Commissioned for the San Francisco Arts Commission for the San Francisco Police Department,"18 1/2""H X 9'8""W X 20' (l); 18 1/2""H X 12 3/4""W Framed panels","-122.4194155,37.7749295",Fabricated stone; text panels; lighting,Seven Dancing Stones and Seven Dancing Stars Stories,
"Echelman, Janet",Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"-122.389979,37.615223","POWDER-COATED STEEL, COLORED FIBER, COMPUTER-PROGRAMMED
AIRFLOW & COLORED LIGHT",Untitled [T-2 interior],
"Edstrom, David","Placed in front of the main entrance of Laguna Honda Home, 7th Avenue and Dewey",8' H,"-122.4556651,37.7478586",Cast stone,Florence Nightingale (1820-1910),
"Elliott, Lillian",,40 in. x 150 in.,"-122.4194155,37.7749295",Fiber tapestry,Untitled,
"Erckenbrack, Mary E.",,,"-122.4348103,37.7842191",Carved and glazed ceramic,Ceramic Mural on Athletics,
"Eversley, Frederick",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"19"" 38"" in diameter","-122.389979,37.615223",Cast resin,Untitled,
"Fernandez, Rudy",Purchased by the San Francisco Art Commission for the Mission Recreation Center,"84"" H X 60"" W","-122.412999,37.75820100000001",Acrylic,Mission Triptych #3,"2450 Harrison St
"
"Fernandez, Rudy",Purchased by the San Francisco Art Commission for the Mission Recreation Center,"84""H X 60""W","-122.412999,37.75820100000001",Acrylic,Mission Triptych #2,"2450 Harrison St
"
Fine and McCarren,Commissioned by the San Francisco Arts Commission for the San Francisco Zoo,,"-122.5049211,37.7336173","bronze,concrete,glass,plants,plastic,porcelain enamel",Split Mound,
"Finneran, Bean",,,"-122.4194155,37.7749295",Glazed ceramic tile,Untitled,
"Fischer, R. M.",Commissioned by the San Francisco Arts Commission,,"-122.4075,37.7880556","granite, stainless steel, glass, aluminum",Union Square Colomnade,
"Fleming, Alan",Purchased by the San Francisco Art Commission for Kezar Stadium.,"Main Gate: 9' H X 17'6"" W","-122.4194155,37.7749295",Galvanized metal,Kezar Stadium Gates,
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",paint stencil,"""Stenciled Fortunes"" within ""Photos of People from the Neighborhood enlarged and",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",Commissioned for the North Beach Parking Garage,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People From the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Paint,"Photos of People From the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Fletcher, Harrell and Rubin, John",,,"-122.4094682,37.7984339",Porcelain enamel,"Photos of People from the Neighborhood Enlarged and Attached to the Building, an",
"Francis, Sam",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"276"" X 348""","-122.389979,37.615223",Acrylic on canvas,Untitled,
"French, Daniel Chester",Gift of the Starr King Monument Committee,8' H,"-122.4666711,37.7703537",Bronze,Thomas Starr King (1824-1864),
"Frey, Viola",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"180"" H X 240"" W","-122.389979,37.615223",Ceramic tile,World Civilization,
"Frey, Viola",Purchased by the San Francisco Art Commission for the Moscone Center,"99 1/4"" H X 77 1/8"" W","-122.433021,37.801262",Oil on canvas,Exterior/Interior (Studio View),
"Fuller (Mcchesney), Mary",Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175",cast concrete,Lion,
"Fuller (Mcchesney), Mary",Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175",Cast concrete,Serpent,
"Fuller (Mcchesney), Mary",Commissioned for art enrichment by the Public Art Program,"Varies from 144"" L to 15"" L X 23"" W to 15"" W","-122.4048688,37.7947175",Cast Concrete,Untitled,
"Fuller (Mcchesney), Mary",Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175",Cast concrete,Dragon,
"Fuller (Mcchesney), Mary",Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175",cast concrete,Lion,
"Fuller (Mcchesney), Mary",Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175",cast concrete,Benches,
"Fuller (Mcchesney), Mary",Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175",Cast concrete,Monkey,
"Fuller (Mcchesney), Mary",Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175",Cast concrete,Rabbit,
"Fuller (Mcchesney), Mary",Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175",cast concrete,Serpent Wall,
"Fuller (Mcchesney), Mary",Gift of the Tamarack Foundation and the Mayor's Office of Community Development to SF Art Commission,,"-122.4048688,37.7947175",Cast concrete,Ram,
"Fuller (Mcchesney), Mary",Commissioned by the Art Commission Funded in part by Tamarach Foundation ,,"-122.4048688,37.7947175",Cast concrete,"Tiger, Ram, Serpent, Monkey, Rabbit, Dragon",
"Fuller, Mary",Purchased by the San Francisco Art Commission for the Westside Pump Station,,"-122.5061246,37.7355641",Cast concrete,"Earth, Air, Sea",
"Fuller, Mary",Purchased by the San Francisco Art Commission for the San Francisco General Hospital,72 in. x 72 in.,"-122.4044431,37.7557795",Cast stone aggregate,Dos Liones,
"Garcia, Rupert",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,204 in. x 300 in.,"-122.389979,37.615223",Ceramic Tile,Bird Technology,
"Garten, Cliff",,,"-122.4556651,37.7478586",Bronze,Laguna Line (The Possibility of the Everyday),
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4'W approx.,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Garza, Carmen Lomas",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"-122.389979,37.615223",Copper and powder-coated steel.,Baile!,
"Garza, Carmen Lomas",Purchased by the San Francisco Art Commission for the Millbrae Water Treatment Facility,3' H X 4' W approx,"-122.4194155,37.7749295",Acrylic on masonite,The History of Northern California Water,
"Geefs, Guillaume",Gift of the California Midwinter Exposition,,"-122.4666711,37.7703537",Bronze,Leonitus (Roman Gladiator),
"Genn, Nancy",Purchased by the San Francisco Art Commission for the San Francisco International Airport,59 in. x 123 in.,"-122.389979,37.615223",Handmade paper on mounted linen,Evora 16,
"Gilliam, Sam",Purchased by the San Francisco Art Commission for the Moscone Convention Center,9 1/2' H X 20 'W X 5' D,"-122.4194155,37.7749295","Enamel, epoxy resin, fiberglass, welded steel, aluminum sheeting",Tholos Across,
"Gillman, Steve",Purchased by the San Francisco Art Commission for Pier 7,"17"" H X 102"" W X 102"" D","-122.3880306,37.7869956",Sunset red granite and bronze,Bay Bench,
"Gillman, Steve",Purchased by the San Francisco Art Commission for Pier 7,,"-122.3880306,37.7869956",Sunset red granite and bronze,Bay Bench,
"Gillman, Steve",Purchased by the San Francisco Art Commission for Pier 7,,"-122.3880306,37.7869956",Sunset red granite and bronze,Bay Bench,
"Gillman, Steve and Keefer, Katherine",,,"-122.415717,37.712643",,The Swimmers,
"Glatt, Linnea",,,"-122.4556651,37.7478586",Fiberglass,Re-connection/Re-cognition,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"35"" H X 22"" W","-122.4209034,37.7440438",concrete,Bed,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"22"" H X 35"" L","-122.4198851,37.7456473",concrete,Grow,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2"" W","-122.4198851,37.7456473",concrete,Eat,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2""","-122.4198851,37.7456473",concrete,Feed,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"35"" H X 52"" L","-122.4191378,37.7467769",concrete,Ballast,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"18"" H X 29"" L","-122.4228311,37.7410238",concrete,Switch,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,,"-122.4194155,37.7749295",Concrete,Pavers,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"18"" H X 12"" W","-122.4183776,37.7514492",concrete,Road,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"32"" H X 50"" L","-122.4220004,37.742354",concrete,Others,
"Goggin, Brian",Commissioned for art enrichment by the Public Art Program,"12"" diameter","-122.4214819,37.7431399",concrete,Hunt,"Mission at, Virginia
"
"Goggin, Brian and Keehn, Dorka",,,"-122.4067221,37.7978885",,Language of the Birds,
"Goldberg, Jim and Rubin, Jon",,312 in. x 480 in.,"-122.4194155,37.7749295",laminated digital print,Imagine Even More,
"Gonzales, George",Purchased by the San Francisco Art Commission for the SFGH Mental Health Rehabilitation Facility,27 1/2' H X 16 'W X 16' D,"-122.4044431,37.7557795","Wood, glass, concrete",Wu Xing Pavilion,
"Gonzalez, Arthur",Commissioned by the San Francisco Art Commission for the Taraval Police Station.,,"-122.4194155,37.7749295",ceramic sculptural relief,Peaceable Kingdom,
"Gordin, Sidney",Commissioned by the San Francisco Arts Commission for the Hall of Justice. Collection of the city and county of San Francisco.,"8' 3 1/4"" H","-122.4194155,37.7749295",Bronze,Untitled,
"Gordon, David and Shum, Hilda",Purchased by the San Francisco Arts Commission for SFGH Mental Health Rehabilitation Facility,,"-122.4044431,37.7557795",Pigment on canvas,Column Vistas,
"Grafly, Charles",Exhibited at the Panama Pacific International Exposition in 1915.,,"-122.4738817,37.771224",Bronze,Pioneer Mother,
"Graham, Cecelia",Commissioned for the Golden Gate Exposition of 1939.,7' long,"-122.4194155,37.7749295",Cast black artificial granite,The Dolphins,
"Graham, Gary W.",Purchased by the San Francisco Art Commission for the Northern Police Station.,"48 1/2"" X 48 1/2""","-122.4194155,37.7749295",Mosaic tile,Police Shield,
"Greber, Henri Leon",Gift of Mrs. James L. Flood,"45"" H by 4' diameter","-122.4122163,37.792033",Bronze,Dancing Sprites,
"Grieve, Mark and Spector, Ilana",,,"-122.4194155,37.7749295",Steel and aluminum,Untitled ,
"Grossoni, Orazio",Gift of the Italian Colony and by special performances of Verdi operas at the Trivoli.,,"-122.4194155,37.7749295",Bronze,Giuseppe Verdi,
"Hall, Diane Andrews",,,"-122.4556651,37.7478586",Cotton thread tapestry,Untitled [tapestries],
"Hall, Diane Andrews",,,"-122.4556651,37.7478586",Tapestry,Rollers,
"Hall, Diane Andrews",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 5/16 in. x 39 7/8 in. x 3/4 in.,"-122.4556651,37.7478586",Glass tile mosaic,Goldfinch with Zinnia 2,
"Hall, Diane Andrews",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 in. x 40 in. x 3/4 in.,"-122.4556651,37.7478586",Glass tile mosaic,Goldfinch 5,
"Hall, Diane Andrews",,,"-122.4556651,37.7478586",Tapestry,Bird and Poem,
"Hall, Diane Andrews",,,"-122.4556651,37.7478586",Tapestry,Swelling Cumulus,
"Hall, Diane Andrews",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,,"-122.4556651,37.7478586",Glass tile mosaic,Morning Light 2,
"Hall, Diane Andrews",Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,39 3/4 in. x 40 in. x 3/4 in.,"-122.4556651,37.7478586",Glass tile mosaic,Hermit Thrush 2,
"Hall, Parker",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Collegiate Sports,
"Halprin, Lawrence",Purchased by the San Francisco Art Commission for the United Nations Plaza,,"-122.4136322,37.779985",Granite,United Nations Plaza Fountain,
"Hamlin, Edith",Gift of the artist to the San Francisco Art Commission.,,"-122.389979,37.615223","Acrylic, tempera and gold leaf",Map for the Pacific and Orient Steamship Lines,
"Hamlin, Edith",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Hunting in California,
"Happersberger, Frank",Acquired in 1885 by public subscription,apron/base/pedestal: 16' H X 17' W X 17' D; sculpture (Garfield): approx. 8' H;,"-122.4194155,37.7749295",Bronze and granite,James A. Garfield (1831-1881),
"Happersberger, Frank",Gift of James Lick,Figure: 10' H; Pedestal: 30' H,"-122.4194155,37.7749295",Bronze and granite,Pioneer Monument  (James Lick Monument),
"Haring, Keith",Collection of the City and County of San Francisco. Purchased for the Moscone Center,"120"" H X 144"" W X 216"" D","-122.433021,37.801262",Painted steel,Untitled (Three Dancing Figures),
"Harris, George",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Banking and the Law,
"Hasson, Bruce",Purchased by the San Francisco Art Commission for the Father Alfred Boedekker Park,"55 1/2"" H X 85"" W Base: 43 1/4"" H X 54 1/4"" W","-122.4122163,37.7842914",Bronze with concrete base,Ark (or Ark San Francisco),
"Hasson, Bruce",Commissioned by the San Francisco Art Commission for the Bush-Polk Parking Garage.,"each 93"" X 36""","-122.4194155,37.7749295",cast aluminum,Trolleys,
"Heavenston, Martha",Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center,"a) 6' 4"" H X 68"" W X 40""D; and b) 6' H X 64"" W X 40""D","-122.415637,37.784791",Concrete form with ceramic on top.,a) Dancing in the Sea of Milk (woman); and b) African King with Animal Power (ma,
"Heavenston, Martha",Commissioned by the San Francisco Art Commission for the Sixth and Folsom Recreation Center,"Total area of base and sculpture is 76' 7"" L X 35 '4"" W","-122.4194155,37.7749295","Polyurethane foam, cement, acrylic admixture, fiberglass cloth, tile",A World View,
"Hedrick, Wally",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"48"" X 87 ""","-122.389979,37.615223",Oil on canvas,"17th December, 1903",
"Heffernon, Gerald",,,"-122.4556651,37.7478586",Bronze and stone,Rabbinoid on Cell Phone,
"Hesthal, William",Commissioned for Coit Tower,,"-122.4058194,37.8023686",Fresco,Railroad and Shipping,
"Hesthal, William",Purchased by the San Francisco Art Commission for the Civic Auditorium,,"-122.4194155,37.7749295",Mural,Untitled,
"Hiramoto, Judy",Purchased by the San Francisco Art Commission for the Mission Recreation Center.,108 in. x 108 in.,"-122.412999,37.75820100000001",Mosaic tiles,Animal Hopscotch,"2450 Harrison St
"
"Hoefer, Wade",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"64"" H X 120"" W","-122.389979,37.615223",Acrylic and sand on canvas,The Peasant's Parade,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboards),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,It's Always Time for Flowers,
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,Untitled (Chalkboard),
"Hoff, Terry",,,"-122.4556651,37.7478586",Mixed media,It's Always Time for Flowers,
"Holland, Tom",Purchased by the San Francisco Art Commission for the Moscone Convention Center,"7 1/2' H X 18' W X 13"" D","-122.4194155,37.7749295",Epoxy paint on aluminum and fiberglass,Morengo,
"Hollis, Douglas",Commissioned for the new Sheriff's Facility by the San Francisco Art Commission.,,"-122.4194155,37.7749295","Ceramic, glass, steel",Ceramic Frit Windows and Mechanical Screens,
"Houdon, Jean Antoine",Dedicated to the City and County of San Francisco at the California Palace of Fine Arts.,"78"" H X 42"" W X 33"" D","-122.491083,37.7774299",Bronze,George Washington,
"Howard, John Langley",Commissioned for Coit Tower,10' X 24',"-122.4058194,37.8023686",Fresco,California Industrial Scenes,
"Howard, Mildred",Collection of the City and County of San Francisco,16 in. x 25 in.,"-122.389979,37.615223",saxophones made of brass and steel music panels,Salt Peanuts,
"Howard, Robert B.",Orignally commissioned for the Golden Gate International Exposition of 1939. Permanently placed in the Academy of Sciences in Golden Gate Park.,,"-122.451725,37.7277894",Cast black artificial granite,Whales,
"Hsu, Joyce",,,"-122.389979,37.615223",Anodized aluminum and stainless steel,Namoo House,
"Hsu, Joyce",,,"-122.4194155,37.7749295",Aluminum,Incomplete Metamorphosis,
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Glass and stainless steel,Untitled,
"Huang, Arlan",,,"-122.4556651,37.7478586",Glass and stainless steel,Untitled,
"Huang, Arlan",,,"-122.4556651,37.7478586",Glass and stainless steel,Untitled,
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Glass and stainless steel,Untitled [glass block windows],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Glass and stainless steel,Untitled,
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Huang, Arlan",,,"-122.4556651,37.7478586",Blown and laminated glass,Untitled [glass panels],
"Hudson, Robert",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"90"" H X 220"" W","-122.389979,37.615223",Acrylic on canvas,A Horse of Another Color,
"Hung, Su-Chen",Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"-122.389979,37.615223",Cast glass,Welcome,
Hunter and Ghidini,Commissioned by the San Francisco Art Commission  for the San Francisco Municipal Railway,"20' H X 13 '6"" W X 250' D","-122.4194155,37.7749295","Copper, structural steel, stainless steel, tile, plants, and multi-media",19th Avenue Shelter at Winston Drive,
Hunter and Ghidini,Commissioned by the San Francisco Art Commission for The San Francisco Municipal Railway,"20' H X 13' 6"" W X 300' D","-122.4194155,37.7749295","Copper, structural steel, stainless steel, tile, plants,",19th Avenue Shelter at Holloway Avenue,
"Huntington, Clara",Gift of the Artist to the City of San Francisco in 1958.,"78"" H X 35"" W","-122.4194155,37.7749295",Bronze,St. Francis of Assisi (Feeding the Birds),
"Igarashi, Takenobu",,,"-122.4556651,37.7478586",terra cotta,Landscape,
"Igarashi, Takenobu",,,"-122.4556651,37.7478586",terra cotta,Landscape,
"Igarashi, Takenobu",,10 in. x 60 in.,"-122.4556651,37.7478586",Glazed ceramic and powder coated stainless steel,Untitled [ceramic relief],
"Igarashi, Takenobu",,10 in. x 84 in.,"-122.4556651,37.7478586",Wood and powder coated stainless steel,Untitled [wood relief],
"Igarashi, Takenobu",,16 in. x 44 in.,"-122.4556651,37.7478586",Wood and powder coated stainless steel,Untitled [wood relief],
"Igarashi, Takenobu",,10 in. x 84 in.,"-122.4556651,37.7478586",Wood and powder coated stainless steel,Untitled [wood relief],
"Igarashi, Takenobu",,,"-122.4556651,37.7478586","Glazed ceramic, wood and stainless steel",Horizontal Feeling,
"Igarashi, Takenobu",,10 in. x 60 in.,"-122.4556651,37.7478586",Glazed ceramic and powder coated stainless steel,Untitled [ceramic relief],
"Igarashi, Takenobu",,10 in. x 84 in.,"-122.4556651,37.7478586",Glazed ceramic and powder coated stainless steel,Untitled [ceramic relief],
"Igarashi, Takenobu",,,"-122.4556651,37.7478586",Aluminum and steel,Sky Dancing,
"Igarashi, Takenobu",,16 in. x 44 in.,"-122.4556651,37.7478586",Wood and powder coated stainless steel,Untitled [wood relief],
"Ilyin, Peter",Commissioned for the Golden Gate Exposition of 1939,156 in. x 108 in.,"-122.404786,37.792778",Oil,Untitled Mural,"600 California St
"
"Ilyin, Peter",Commissioned for the Golden Gate Exposition of 1939,,"-122.404786,37.792778",Oil,Untitled Mural,"600 California St
"
"Jauchen, Hans",Gift of the Norwegian men and women of San Francisco.,"SC: 32 X 27 X 6 "" Granite pedestal: 134 X 40 X 42 ""","-122.5108707,37.7704354",Bronze and red Norwegian Granite,Roald Amundsen (1872-1928),
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
Joesam.,Commissioned by the San Francisco Art Commission for the Tenderloin Children's Recreation Center.,"Seven figures, approximately 2 - 5 feet tall","-122.4194155,37.7749295",1/4 thick #836 galvanized steel,Folks in the 'Hood,
Joesam.,Commissioned by the San Francisco Art Commission for the San Francisco Police Department,,"-122.4219961,37.7631512",Painted Aluminum,Hope Flight,"3401 17th Street
San Francisco, CA 94110-1112
(37.76328011102247, -122.42173337232605)"
